cd_name,cd_number,borough,cd_neighborhoods,cb_email,cb_website,son_issue_1,son_issue_2,son_issue_3
Bronx Community District 1,201,Bronx,"Melrose, Mott Haven, Port Morris",brxcb1@optonline.net,www1.nyc.gov/site/bronxcb1/index.page,Affordable housing,Health care services,Unemployment
Bronx Community District 2,202,Bronx,"Hunts Point, Longwood",brxcb2@optonline.net,www.bxcb2.org,Parks,Schools,Youth and childrens services
Bronx Community District 3,203,Bronx,"Claremont, Crotona Park East, Melrose, Morrisania",brxcomm3@optonline.net,www.nyc.gov/bronxcb3,Health care services,Unemployment,Youth and childrens services
Bronx Community District 6,206,Bronx,"Bathgate, Belmont, Bronx Park South, East Tremont, West Farms",bronxcb6@bronxcb6.org,www.bronxcb6.org,Crime,Schools,Unemployment
Bronx Community District 4,204,Bronx,"Concourse, Concourse Village, East Concourse, Highbridge, Mount Eden, West Concourse",bx04@cb.nyc.gov,www.nyc.gov/html/bxcb4,"Quality of life issues (noise, graffiti, petty crime, etc.)",Schools,Youth and childrens services
Bronx Community District 5,205,Bronx,"Fordham, Morris Heights, Mount Hope, University Heights",bx05@cb.nyc.gov,www1.nyc.gov/site/bronxcb5/index.page,Affordable housing,Schools,Unemployment
Bronx Community District 7,207,Bronx,"Bedford Park, Fordham, Kingsbridge Heights, Norwood, University Heights",info@bronxcb7.info,www.bronxcb7.info,"Land use trends (zoning, development, neighborhood preservation, etc.)",Schools,Other
Bronx Community District 8,208,Bronx,"Fieldston, Kingsbridge, Marble Hill (MN), North Riverdale, Riverdale, Spuyten Duyvil",bx08@cb.nyc.gov,www.nyc.gov/html/bxcb8,"Land use trends (zoning, development, neighborhood preservation, etc.)",Parks,Senior services
Bronx Community District 9,209,Bronx,"Bronx River, Castle Hill, Clason Point, Harding Park, Parkchester, Soundview, Soundview-Bruckner, Unionport",bx09@cb.nyc.gov,www.nyc.gov/bxcb9,Affordable housing,Crime,"Land use trends (zoning, development, neighborhood preservation, etc.)"
Bronx Community District 10,210,Bronx,"City Island, Co-op City, Country Club, Edgewater Park, Pelham Bay, Schuylerville, Throgs Neck, Westchester Square",bx10@cb.nyc.gov,www.nyc.gov/html/bxcb10/,"Quality of life issues (noise, graffiti, petty crime, etc.)",Traffic,Trash removal & cleanliness
Bronx Community District 11,211,Bronx,"Allerton, Bronxdale, Indian Village, Morris Park, Pelham Gardens, Pelham Parkway, Van Nest",Bx11@cb.nyc.gov,www.nyc.gov/bxcb11,Police-community relations,Public health facilities,"Quality of life issues (noise, graffiti, petty crime, etc.)"
