borocd,cb_email,cb_website
101,man01@cb.nyc.gov,www1.nyc.gov/site/manhattancb1/index.page
102,bgormley@cb.nyc.gov,www.nyc.gov/html/mancb2
103,mn03@cb.nyc.gov,www.nyc.gov/html/mancb3
104,jbodine@cb.nyc.gov,www.nyc.gov/mcb4
105,office@cb5.org,www.cb5.org
106,Office@cbsix.org,www.cbsix.org
107,office@cb7.org,www.nyc.gov/mcb7
108,info@cb8m.com,www.cb8m.com
109,eprince@cb9m.org,www.cb9m.org
110,MN10CB@cb.nyc.gov,www.nyc.gov/html/mancb10
111,mn11@cb.nyc.gov,www.cb11m.org
112,ebsmith@cb.nyc.gov,www.nyc.gov/html/mancb12
201,brxcb1@optonline.net,www1.nyc.gov/site/bronxcb1/index.page
202,brxcb2@optonline.net,www.bxcb2.org
203,brxcomm3@optonline.net,www.nyc.gov/bronxcb3
204,bx04@cb.nyc.gov,www.nyc.gov/html/bxcb4
205,bx05@cb.nyc.gov,www1.nyc.gov/site/bronxcb5/index.page
206,bronxcb6@bronxcb6.org,www.bronxcb6.org
207,info@bronxcb7.info,www.bronxcb7.info
208,bx08@cb.nyc.gov,www.nyc.gov/html/bxcb8
209,bx09@cb.nyc.gov,www.nyc.gov/bxcb9
210,bx10@cb.nyc.gov,www.nyc.gov/html/bxcb10/
211,Bx11@cb.nyc.gov,www.nyc.gov/bxcb11
212,gtorres@cb.nyc.gov ,www1.nyc.gov/site/bronxcb12/index.page
301,bk01@cb.nyc.gov,www.nyc.gov/html/bkncb1
302,cb2k@nyc.rr.com,www.nyc.gov/html/bkncb2
303,bk03@cb.nyc.gov,https://www1.nyc.gov/site/brooklyncb3/index.page
304,BK04@cb.nyc.gov,www.nyc.gov/brooklyncb4
305,bk05@cb.nyc.gov,www.brooklyncb5.org
306,info@brooklyncb6.org,www1.nyc.gov/site/brooklyncb6/index.page
307,bk07@cb.nyc.gov,www.nyc.gov/bk07
308,brooklynCB8@gmail.com,www.brooklyncb8.org
309,bk09@cb.nyc.gov,www.communitybrd9bklyn.org
310,bk10@cb.nyc.gov,www.bkcb10.org
311,bk11@cb.nyc.gov,www.brooklyncb11.org
312,bkcb12@gmail.com,www.brooklyncb12.org
313,edmark@cb.nyc.gov ,www1.nyc.gov/site/brooklyncb13/index.page
314,info@cb14brooklyn.com,www.cb14brooklyn.com
315,bklcb15@verizon.net,www.nyc.gov/html/bkncb15
316,bk16@cb.nyc.gov,www.nyc.gov/brooklyncb16
317,bk17@cb.nyc.gov,www.cb17brooklyn.org
318,bkbrd18@optonline.net,0
401,Qn01@cb.nyc.gov,www1.nyc.gov/site/queenscb1/index.page
402,qn02@cb.nyc.gov,www.nyc.gov/queenscb2
403,communityboard3@nyc.rr.com,www.cb3qn.nyc.gov
404,qn04@cb.nyc.gov,www1.nyc.gov/site/queenscb4/index.page
405,qnscb5@nyc.rr.com,www.nyc.gov/qnscb5
406,qn06@cb.nyc.gov,www1.nyc.gov/site/queenscb6/index.page
407,qn07@cb.nyc.gov,www.nyc.gov/queenscb7
408,qn08@cb.nyc.gov,www1.nyc.gov/site/queenscb8/index.page
409,qn09@cb.nyc.gov,www1.nyc.gov/site/queenscb9/index.page
410,cb10qns@nyc.rr.com,www.nyc.gov/html/qnscb10
411,QN11@cb.nyc.gov,www.nyc.gov/queenscb11
412,qn12@cb.nyc.gov,www.nyc.gov/qcb12
413,info@qcb13.org,www1.nyc.gov/site/queenscb13/index.page
414,cbrock14@nyc.rr.com,www1.nyc.gov/site/queenscb14/index.page
501,Sicb1@si.rr.com,www1.nyc.gov/site/statenislandcb1/index.page
502,dderrico@cb.nyc.gov,www.cb2si.com/
503,sicb3@cb.nyc.gov,www1.nyc.gov/site/statenislandcb3/index.page
