borocd,neighborhoods,son_issue_1,son_issue_2,son_issue_3
101,"Battery Park City, Civic Center, Ellis Island, Governors Island, Liberty Island, South Street Seaport, Tribeca, Wall Street, World Trade Center","Land use trends (zoning, development, neighborhood preservation, etc.)",Traffic,Infrastructure resiliency
102,"Greenwich Village, Hudson Square, Little Italy, NoHo, SoHo, South Village, West Village",Schools,"Land use trends (zoning, development, neighborhood preservation, etc.)",Parks and open space
103,"Chinatown, East Village, Lower East Side, NoHo, Two Bridges",Affordable housing,Senior services,Homelessness
104,"Chelsea, Clinton, Hudson Yards",Affordable housing,Crime and public safety,Trash removal & cleanliness
105,"Flatiron, Gramercy Park, Herald Square, Midtown, Midtown South, Murray Hill, Times Square, Union Square",Affordable housing,Economic development and recovery,"Quality of life issues (noise, graffiti, petty crime, etc.)"
106,"Beekman Place, Gramercy Park, Murray Hill, Peter Cooper Village, Stuyvesant Town, Sutton Place, Tudor City, Turtle Bay",Affordable housing,Parks and open space,Homelessness
107,"Lincoln Square, Manhattan Valley, Upper West Side",Affordable housing,Schools,Social services
108,"Carnegie Hill, Lenox Hill, Roosevelt Island, Upper East Side, Yorkville",Affordable housing,Schools,Parks and open space
109,"Hamilton Heights, Manhattanville, Morningside Heights, West Harlem",Affordable housing,Schools,Health care services
110,Central Harlem,Affordable housing,Senior services,Homelessness
111,"East Harlem, Harlem, Randall's Island Park, Wards Island Park",Affordable housing,Crime and public safety,Homelessness
112,"Inwood, Washington Heights",Affordable housing,Crime and public safety,Health care services
201,"Melrose, Mott Haven, Port Morris",Affordable housing,Crime and public safety,"Quality of life issues (noise, graffiti, petty crime, etc.)"
202,"Hunts Point, Longwood",Affordable housing,Schools,Traffic
203,"Claremont, Crotona Park East, Melrose, Morrisania",Affordable housing,Crime and public safety,Youth and children’s services
204,"Concourse, Concourse Village, East Concourse, Highbridge, Mount Eden, West Concourse",Affordable housing,Trash removal & cleanliness,"Quality of life issues (noise, graffiti, petty crime, etc.)"
205,"Fordham, Morris Heights, Mount Hope, University Heights",Affordable housing,Schools,Unemployment
206,"Bathgate, Belmont, Bronx Park South, East Tremont, West Farms",Affordable housing,Crime and public safety,Economic development and recovery
207,"Bedford Park, Fordham, Kingsbridge Heights, Norwood, University Heights",Schools,"Land use trends (zoning, development, neighborhood preservation, etc.)",Other
208,"Fieldston, Kingsbridge, Marble Hill (MN), North Riverdale, Riverdale, Spuyten Duyvil",Affordable housing,Parks and open space,Senior services
209,"Bronx River, Castle Hill, Clason Point, Harding Park, Parkchester, Soundview, Soundview-Bruckner, Unionport",Affordable housing,Crime and public safety,Emergency and disaster response
210,"City Island, Co-op City, Country Club, Edgewater Park, Pelham Bay, Schuylerville, Throgs Neck, Westchester Square",Traffic,Trash removal & cleanliness,"Quality of life issues (noise, graffiti, petty crime, etc.)"
211,"Allerton, Bronxdale, Indian Village, Morris Park, Pelham Gardens, Pelham Parkway, Van Nest",Schools,Parks and open space,Transit (buses & subways)
212,"Baychester, Eastchester, Edenwald, Olinville, Wakefield, Williamsbridge, Woodlawn",Parks and open space,Trash removal & cleanliness,"Quality of life issues (noise, graffiti, petty crime, etc.)"
301,"East Williamsburg, Greenpoint, Northside, Southside, Williamsburg",Affordable housing,"Land use trends (zoning, development, neighborhood preservation, etc.)",Parks and open space
302,"Boerum Hill, Brooklyn Heights, Clinton Hill, Downtown Brooklyn, DUMBO, Fort Greene, Fulton Ferry, Navy Yard, Vinegar Hill",Affordable housing,Crime and public safety,Homelessness
303,"Bedford-Stuyvesant, Stuyvesant Heights, Tompkins Park North",Affordable housing,Parks and open space,Trash removal & cleanliness
304,Bushwick,Affordable housing,"Land use trends (zoning, development, neighborhood preservation, etc.)",Trash removal & cleanliness
